ID,Título,Autores,Ano,Jornal/Conferência,DOI,Abstract,Keywords,ISSN,Affiliation,Base,SJR Best Quartile
10.1145/3772723,HAG-MTF: Higher-Order Adaptive Generative Graph for Massive Traffic Forecasting in Industry 5.0,"Wang, Lei and Wu, Huaming and Zhang, Fan and Li, Keqiu and Yu, Wei and Chen, Shuo",2025,ACM Trans. Auton. Adapt. Syst.,10.1145/3772723,"With the evolution of urban smart transportation, the complexity of urban traffic networks escalates, emphasizing the importance of large-scale traffic data prediction in traffic management and urban planning. Traditional spatiotemporal graph models, such as Graph-WaveNet and MTGCN, face exponentially increasing computational complexity as the spatial dimensions expand. To address this challenge, we propose a novel Higher-order Adaptive Generative graph for Massive Traffic Forecasting (HAG-MTF) approach, which utilizes generative AI and high-order graph structures to model the intricate spatial dependencies in large-scale traffic data. The HAG-MTF incorporates a high-order dimensionality reduction module to optimize traffic node processing, utilizing prior graph relationships to generate a fusion graph that dynamically incorporates neighborhood information for efficient, localized graph convolution. The model further incorporates the high-order spatiotemporal relationship extraction module (H-net), enhancing the capacity and speed of traffic data processing while boosting prediction accuracy for complex spatial structures. Furthermore, HAG-MTF introduces a fusion loss function that hierarchically balances multiple objectives, ensuring both precision and computational efficiency. HAG-MTF adaptively handles large-scale real-world traffic data, meeting the needs of traffic controllers and urban planners for predicting massive datasets in practical settings. It supports efficient, flexible interactions via parameter tuning and model outputs, ultimately integrating human insights into traffic analysis and decision-making. This dynamic human-machine collaboration differs from non-Industry 5.0 approaches, which rely on purely automated systems without human input. Those lead to inflexible, brittle conclusions and recommendations, neglecting shifts in traffic patterns driven by human behavior. Extensive experiments on real-world traffic datasets demonstrate that HAG-MTF significantly improves processing efficiency for high-complexity spatial data while delivering precise, human-informed predictions through generative AI-driven operations.","Spatiotemporal big data, Traffic prediction, High-order generative graph convolution",15564665,"New York, NY, USA",ACM,Q2
10.1145/3774655,LLM-based UAV Path Planning for Autonomous and Adaptive Industry Systems,"Xiao, Wenjing and Shi, Chenglong and Chen, Miaojiang and Vasilakos, Athanasios V. and Chen, Min and Farouk, Ahmed",2025,ACM Trans. Auton. Adapt. Syst.,10.1145/3774655,"In the era of Industry 5.0, Unmanned Aerial Vehicles (UAVs) equipped with multiple sensors play a vital role in industrial tasks such as patrol and surveillance, offering distinct advantages of high mobility, accurate perception, and autonomous operation. However, traditional path planning methods for UAVs struggle with challenges related to interpretability and adaptation to dynamic industrial environments. To address these challenges, this paper proposes a novel LLM-based approach to UAV swarm path planning in autonomous and adaptive industrial systems. The proposed method aims to minimize the time and computational consumption of path planning while improving the task completion rate of UAVs. Specifically, we first propose the multi-step deep thinking movement decision samples generation algorithm (MSDTMD-SG) to generate deep thinking training samples for LLMs at different ends and fine-tune them. Second, we design a scene memory and replay learning mechanism, enabling damaged UAVs to store perceived information and generate training samples via MSDTMD-SG for continuous LLM learning and optimization. Finally, extensive experiments demonstrate that the proposed method exhibits strong adaptability to dynamic environments, achieves the highest task completion rate among all methods, and maintains competitive system consumption.","Large language model, UAV swarm path planing, cloud-edge collaboration, industry system",15564665,"New York, NY, USA",ACM,Q2
10.1145/3732287,A Comprehensive Survey on Deep Learning-based Predictive Maintenance,"Khan, Uzair and Cheng, Dong and Setti, Francesco and Fummi, Franco and Cristani, Marco and Capogrosso, Luigi",2025,ACM Trans. Embed. Comput. Syst.,10.1145/3732287,"With the advent of Industrial 4.0 and the push towards Industry 5.0, the data generated by the industries have become surprisingly large. This abundance of data significantly boosts machine and deep learning models for Predictive Maintenance (PdM). The PdM plays a vital role in extending the lifespan of industrial equipment and machines while also helping to reduce the risk of unscheduled downtime. Given its multidisciplinary nature, the field of PdM has been approached from many different angles: this comprehensive survey aims to provide an up-to-date overview focused on all the learning-based industrial PdM strategies, discussing weaknesses and strengths. The survey is based on the Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) methodological flow, allowing a systematic and complete review of the literature. In particular, firstly, we explore the main learning models used for PdM, mainly Convolutional Neural Networks (ConvNets), Autoencoders (AEs), Generative Adversarial Networks (GANs), and Transformers, also giving an overview of the newest models such as diffusion models and foundation models. Then, we discuss the main learning paradigms applied to PdM, i.e., supervised, unsupervised, ensemble, transfer, federated, and reinforcement learning. Furthermore, this work discusses the pipeline of the data-driven PdM and its benefits, practical applications, datasets, and benchmarks. In addition, the evaluation metrics for each PdM stage and the state-of-the-art hardware devices used are discussed. Finally, the challenges and future work are presented.","Predictive Maintenance, Industry 4.0, Deep Learning",15399087,"New York, NY, USA",ACM,Q2
10.1145/3640314,Model-based Trustworthiness Evaluation of Autonomous Cyber-Physical Production Systems: A Systematic Mapping Study,"Zahid, Maryam and Bucaioni, Alessio and Flammini, Francesco",2024,ACM Comput. Surv.,10.1145/3640314,"The fourth industrial revolution, i.e., Industry 4.0, is associated with Cyber-Physical Systems (CPS), which are entities integrating hardware (e.g., smart sensors and actuators connected through the Industrial Internet of Things) together with control and analytics software used to drive and support decisions at several levels. The latest developments in Artificial Intelligence (AI) and Machine Learning (ML) have enabled increased autonomy and closer human-robot cooperation in the production and manufacturing industry, thus leading to Autonomous Cyber-Physical Production Systems (ACPPS) and paving the way to the fifth industrial revolution (i.e., Industry 5.0). ACPPS are increasingly critical due to the possible consequences of their malfunctions on human co-workers, and therefore, evaluating their trustworthiness is essential. This article reviews research trends, relevant attributes, modeling languages, and tools related to the model-based trustworthiness evaluation of ACPPS. As in many other engineering disciplines and domains, model-based approaches, including stochastic and formal analysis tools, are essential to master the increasing complexity and criticality of ACPPS and to prove relevant attributes such as system safety in the presence of intelligent behaviors and uncertainties.","Autonomous cyber-physical production systems, cyber-physical manufacturing systems, industry 4.0, industry 5.0, automation, trustworthiness, models, mapping study",03600300,"New York, NY, USA",ACM,Q1
10.1145/3594539,A Design Flow Based on Docker and Kubernetes for ROS-based Robotic Software Applications,"Lumpp, Francesco and Panato, Marco and Bombieri, Nicola and Fummi, Franco",2024,ACM Trans. Embed. Comput. Syst.,10.1145/3594539,"Human-centered robotic applications are becoming pervasive in the context of robotics and smart manufacturing, and such a pervasiveness is even more expected with the shift to Industry 5.0. The always increasing level of autonomy of modern robotic platforms requires the integration of software applications from different domains to implement artificial intelligence, cognition, and human-robot/robot-robot interaction. Developing and (re)configuring such a multi-domain software to meet functional constraints is a challenging task. Even more challenging is customizing the software to satisfy non-functional requirements such as real-time, reliability, and energy efficiency. In this context, the concept of Edge-Cloud continuum is gaining consensus as a solution to address functional and non-functional constraints in a seamless way. Containerization and orchestration are becoming a standard practice, as they allow for better information flow among different network levels as well as increased modularity in the use of multi-domain software components. Nevertheless, the adoption of such a practice along the design flow, from simulation to the deployment of complex robotic applications by addressing the de facto development standards (e.g., ROS - Robotic Operating System) is still an open problem. We present a design methodology based on Docker and Kubernetes that enables containerization and orchestration of ROS-based robotic SW applications for heterogeneous and hierarchical HW architectures. The methodology aims at (i) integrating and verifying multi-domain components since early in the design flow, (ii) mapping software tasks to containers to minimize the performance and memory footprint overhead, (iii) clustering containers to efficiently distribute load across the edge-cloud architecture by minimizing resource utilization, and (iv) enabling multi-domain verification of functional and non-functional constraints before deployment. The article presents the results obtained with a real case of study, in which the design methodology has been applied to program the mission of a Robotnik RB-Kairos mobile robot in an industrial agile production chain. We have obtained reduced load on the robot’s HW with minimal performance and network overhead, thanks to the optimized distributed system.","ROS, Docker, Kubernetes, K3S, robotic applications, Edge-Cloud computing",15399087,"New York, NY, USA",ACM,Q2
10.1145/3590163,A Survey of AI-enabled Dynamic Manufacturing Scheduling: From Directed Heuristics to Autonomous Learning,"Ding, Jiepin and Chen, Mingsong and Wang, Ting and Zhou, Junlong and Fu, Xin and Li, Keqin",2023,ACM Comput. Surv.,10.1145/3590163,"As one of the most complex parts in manufacturing systems, scheduling plays an important role in the efficient allocation of resources to meet individual customization requirements. However, due to the uncertain disruptions (e.g., task arrival time, service breakdown duration) of manufacturing processes, how to respond to various dynamics in manufacturing to keep the scheduling process moving forward smoothly and efficiently is becoming a major challenge in dynamic manufacturing scheduling. To solve such a problem, a wide spectrum of artificial intelligence techniques have been developed to (1) accurately construct dynamic scheduling models that can represent both personalized customer needs and uncertain provider capabilities and (2) efficiently obtain a qualified schedule within a limited time. From these two perspectives, this article systemically makes a state-of-the-art literature survey on the application of these artificial intelligence techniques in dynamic manufacturing modeling and scheduling. It first introduces two types of dynamic scheduling problems that consider service- and task-related disruptions in the manufacturing process, respectively, followed by a bibliometric analysis of artificial intelligence techniques for dynamic manufacturing scheduling. Next, various kinds of artificial-intelligence-enabled schedulers for solving dynamic scheduling problems including both directed heuristics and autonomous learning methods are reviewed, which strive not only to quickly obtain optimized solutions but also to effectively achieve the adaption to dynamics. Finally, this article further elaborates on the future opportunities and challenges of using artificial-intelligence-enabled schedulers to solve complex dynamic scheduling problems. In summary, this survey aims to present a thorough and organized overview of artificial-intelligence-enabled dynamic manufacturing scheduling and shed light on some related research directions that are worth studying in the future.","Artificial intelligence, dynamic scheduling, directed heuristic, autonomous learning, manufacturing system",03600300,"New York, NY, USA",ACM,Q1
10884049,A Novel Mutual Information-Based Approach for Neurophysiological Characterization of Sense of Presence in Virtual Reality,"Ronca, Vincenzo and Babiloni, Fabio and Aricò, Pietro",2025,IEEE Transactions on Biomedical Engineering,10.1109/TBME.2025.3541438,"Objective: The presented work aimed to investigate neurophysiological markers of sense of presence in virtual reality (VR). The study was based on developing and preliminary validating a neurophysiological-based approach for sense of presence evaluation. Methods: A VR environment was designed to systematically modulate multisensory conditions, including visual, auditory, and vibrotactile stimuli. EEG, ECG, and EDA signals were recorded. The Mutual Information-based sense of presence index ($\text{SoP}_{\text{MI}}$) was developed as a synthetic metric for sense of presence, integrating multiple physiological signals. Signal preprocessing and analysis were conducted using EEG-based Global Field Power (GFP) and Skin Conductance Level (SCL), among other parameters, to explore their relationship with sense of presence under different VR conditions. Results: The $\text{SoP}_{\text{MI}}$ index demonstrated sensitivity to varying levels of multisensory integration and immersion (all p < 0.001). EEG-derived features, particularly in theta and alpha bands, were highly correlated with subjective sense of presence scores (R = 0.559, p < 0.007). Additionally, autonomic markers, such as skin conductance, showed strong associations with engagement, particularly under high-immersion conditions. Conclusion: The study successfully identified neurophysiological markers of sense of presence and preliminarily validated the $\text{SoP}_{\text{MI}}$ index as a potential objective measure for VR applications. These findings establish a foundation for reliable and immersive VR experiences across fields, including training, rehabilitation and industry 5.0. Significance: By providing an objective and multimodal framework for measuring sense of presence, this research contributes to advancing VR applications where the sense of presence accurate and reliable assessment is essential. The $\text{SoP}_{\text{MI}}$ index offers potential for enhancing VR design and creating more effective, user-centered immersive experiences.",Electroencephalography;Indexes;Visualization;Automobiles;Skin;Biomedical monitoring;Band-pass filters;Recording;Wheels;Modulation;EEG;virtual reality (VR);sense of presence;neurophysiological characterization;mutual information,15582531,,IEEE,Q1
10884751,"Bridging Research Gaps in Industry 5.0: Synergizing Federated Learning, Collaborative Robotics, and Autonomous Systems for Enhanced Operational Efficiency and Sustainability","Zia, Ashraf and Haleem, Muhammad",2025,IEEE Access,10.1109/ACCESS.2025.3541822,"Industry 5.0 marks a transformative shift in industrial operations, emphasizing human-machine collaboration, sustainability, and intelligent automation. This study conducts a Systematic Literature Review (SLR) to analyze research contributions from leading digital libraries, including IEEE, ACM, Springer, and MDPI, focusing on publications between 1992 and 2024. The objective is to identify existing research gaps, challenges, and synergies across Federated Learning (FL), Collaborative Robotics (Cobots), and Autonomous Systems (AS). From an initial collection of 12,079 papers, a core set of 92 relevant publications was selected based on predefined research questions. This review provides a structured analysis to guide scholars and practitioners in optimizing the interplay between FL, cobots, and autonomous systems, aiming to enhance adaptability, operational resilience, and environmental sustainability. By addressing unresolved challenges and highlighting emerging opportunities, this SLR contributes to bridging research gaps and supports the development of strategic frameworks that balance efficiency with sustainability, advancing the goals of Industry 5.0.",Fifth Industrial Revolution;Systematic literature review;Security;Collaborative robots;Service robots;Scalability;Industries;Federated learning;Sustainable development;Safety;Autonomous systems;blockchain;collaborative robotics;cybersecurity;digital twin technology;federated learning;industry 5.0;operational efficiency;smart manufacturing;sustainability,21693536,,IEEE,Q1
10882923,A Novel Hybrid Quantum-Crypto Standard to Enhance Security and Resilience in 6G-Enabled IoT Networks,"Singamaneni, Kranthi Kumar and Budati, Anil Kumar and Islam, Shayla and Kolandaisamy, Raenu A. L. and Muhammad, Ghulam",2025,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,10.1109/JSTARS.2025.3540905,"One of the most significant threats that hinder the effective functioning of existing models and technologies in 6G networks, particularly within the realms of Industry 5.0, is the lack of privacy and security. Traditional cryptographic models that were once considered secure have proven to be vulnerable to an expanding range of threats, such as quantum attacks. This vulnerability results in the exposure of sensitive data to unauthorized breaches and compromises the integrity and overall functionality of the network. Access control mechanisms implemented up to this point could not ensure that security compromises are prevented as secure data sharing is facilitated effortlessly. As a result, attempts to access sensitive data without authorization are often made, leaving the networks vulnerable to distributed denial of service (DDoS) attacks that have the potential to disrupt their operation. Considering these pervasive challenges, our article proposes an innovative hybrid protocol suite explicitly designed for 6G networks in Industry 5.0. Specifically, our approach integrates leading-edge technologies, such as nth-degree truncated polynomial ring unit encryption with supersingular isogeny Diffie–Hellman (NTRUEncrypt-SIDH) and key-policy attribute-based encryption (KP-ABE). It aims to address the vulnerabilities associated with traditional cryptographic models to ensure high confidentiality and authorized data sharing. Moreover, we implement modern DDoS mitigation techniques, such as rate limiting, traffic filtering, and adaptive routing, to enhance the resilience of the network and ensure that system operation remains uninterrupted. Experimental evaluations demonstrate the superiority of the proposed model over existing standards. Notably, the hybrid protocol achieves encryption and decryption times of 1.8 s and 1.667 s per gigabyte (GB), respectively, with a key generation time of 2.857 s per GB, ensuring efficient performance even in resource-constrained environments. The system achieves a total computational overhead of 11.7 ms for KP-ABE combined with NTRUEncrypt-SIDH, outperforming other cryptographic combinations. In addition, the model exhibits enhanced scalability, flexibility, and security, offering robust defenses against quantum and classical threats while ensuring seamless user policy-based access control. These results underscore the proposed hybrid cryptosystem's potential as a transformative standard for the secure and efficient operation of 6G networks in Industry 5.0.",6G mobile communication;Security;Encryption;Cryptography;Computer crime;Access control;Standards;Fifth Industrial Revolution;Prevention and mitigation;Adaptation models;6G networks;access control;adaptive routing;attribute-based encryption (ABE);industry 5.0;key-policy attribute-based encryption (KP-ABE);nth-degree truncated polynomial ring unit encryption (NTRUEncrypt);post-quantum cryptography;quantum attacks;supersingular isogeny Diffie–Hellman,21511535,,IEEE,Q1
10877812,The Challenges of Driverless Mobile Vehicles in Shared Workspace in the Industry 5.0 Era,"Berti, Nicola and Katiraee, Niloofar and Zuin, Silvia and Aldrighetti, Riccardo and Persona, Alessandro and Battini, Daria",2025,IEEE Access,10.1109/ACCESS.2025.3539928,"In the era of the Fourth Industrial Revolution and Industry 5.0, driverless material handling technologies are becoming a mainstay of production and distribution facilities and have never been so close to human workers. Laser Guided Vehicles (LGVs) and Autonomous Mobile Robots (AMRs), with open navigation routes, are increasingly being used in different sectors, sharing the same spaces with the workforce. However, this coexistence poses different challenges when autonomous systems must share workspaces and walkways with human workers. The main concerns revolve around the potential safety risks to workers and disruption to operations. In particular, the performance of the driverless mobile system inevitably suffers from sharing the same environment with unpredictable human activities and movements, causing delays, slowdowns, and inefficiencies in the transport system. Although human-robot interaction can be seen as an advantage, if not properly designed and managed, it can lead to several inefficiencies such as production delays due to speed loss, backlogs, and workstation downtime. A new discrete event simulation model is developed here to support the efficient design of an LGV fleet when human-robot coexistence and interaction need to be considered. This model can combine different design parameters such as the number of vehicles and their performances, safe distances, reaction times, pedestrian paths, and the relative frequency of worker crossings. The aim of this work is to provide a graphical tool that can assist the designer of the LGV fleet in the correct definition of both the number of vehicles and the paths, by supporting the correct assessment of the vehicles’ efficiency and their real performance.",Pedestrians;Analytical models;Throughput;Mathematical models;Materials handling;Fifth Industrial Revolution;Delays;System performance;Logistics;Layout;Driver-less mobile vehicle;human-robot interaction;industry 5.0;laser guided vehicles;simulation model;shared environments,21693536,,IEEE,Q1
