ID,Título,Autores,Ano,Jornal/Conferência,DOI,Abstract,Keywords,ISSN,Affiliation,Base,texto_completo,topico_dominante,probabilidade_topico
10.1145/3773274.3774700,KOTO: A Kubernetes-Based Platform for Secure and Scalable OT Orchestration in Industry 5.0,"Giulianelli, Nicole and Sabbioni, Andrea and Montebugnoli, Sofia and Bujari, Armir and Corradi, Antonio",2026,Proceedings of the 18th IEEE/ACM International Conference on Utility and Cloud Computing,10.1145/3773274.3774700,"The progressive digitization of Operation Technology (OT), thanks also to the integration of Industrial Internet of Things (IIoT) devices, is reshaping the landscape of modern industrial systems. This introduces additional complexity and amplifies the heterogeneity across hardware and software ecosystems, thus exacerbating the challenges of orchestration and lifecycle management, which become particularly intricate and demanding. To meet these challenges, modern DevOps practices, such as Continuous Integration and Continuous Deployment (CI/CD), runtime observability, and fine-grained access control, are essential to shorten time-to-market, ensure service quality, manage operational complexity, while providing security guarantees. Moving a step toward seamless integration of OT into cloud-native ecosystems, we propose Kubernetes-based OT Orchestrator (KOTO), an orchestration platform that extends Kubernetes to enable comprehensive lifecycle management of OT devices in industrial environments. KOTO bridges the gap between IT and OT by seamlessly integrating with existing CI/CD pipelines and implementing Role-Based Access Control (RBAC) mechanisms tailored to device-level permissions. It abstracts the management of heterogeneous, multi-vendor hardware through a unified abstraction, enabling scalable and secure operations across diverse industrial setups. Without loss of generality, we demonstrate the use of the platform in managing Programmable Logic Controllers (PLCs). We then perform extensive evaluations in a realistic deployment environment, validating KOTO’s effectiveness in enhancing operational resilience and responsiveness.","Smart manufacturing, Industry 5.0, IT/OT, Orchestration, Observability, eBPF, PLC",,"New York, NY, USA",ACM,"KOTO: A Kubernetes-Based Platform for Secure and Scalable OT Orchestration in Industry 5.0 The progressive digitization of Operation Technology (OT), thanks also to the integration of Industrial Internet of Things (IIoT) devices, is reshaping the landscape of modern industrial systems. This introduces additional complexity and amplifies the heterogeneity across hardware and software ecosystems, thus exacerbating the challenges of orchestration and lifecycle management, which become particularly intricate and demanding. To meet these challenges, modern DevOps practices, such as Continuous Integration and Continuous Deployment (CI/CD), runtime observability, and fine-grained access control, are essential to shorten time-to-market, ensure service quality, manage operational complexity, while providing security guarantees. Moving a step toward seamless integration of OT into cloud-native ecosystems, we propose Kubernetes-based OT Orchestrator (KOTO), an orchestration platform that extends Kubernetes to enable comprehensive lifecycle management of OT devices in industrial environments. KOTO bridges the gap between IT and OT by seamlessly integrating with existing CI/CD pipelines and implementing Role-Based Access Control (RBAC) mechanisms tailored to device-level permissions. It abstracts the management of heterogeneous, multi-vendor hardware through a unified abstraction, enabling scalable and secure operations across diverse industrial setups. Without loss of generality, we demonstrate the use of the platform in managing Programmable Logic Controllers (PLCs). We then perform extensive evaluations in a realistic deployment environment, validating KOTO’s effectiveness in enhancing operational resilience and responsiveness.",1,0.8318521976470947
10.1145/3726101.3726115,AI-Driven Inclusive Manufacturing Interfaces: Leveraging Information Technology for Cognitive Diversity in Industry 5.0,"Fan, Yuchen and Antonelli, Dario and Simeone, Alessandro and Priarone, Paolo C. and Settineri, Luca",2025,Proceedings of the 2025 7th Asia Pacific Information Technology Conference,10.1145/3726101.3726115,"The transition to Industry 5.0 emphasizes the need for inclusive and intelligent systems in manufacturing. Traditional text-based assembly instructions can create barriers for workers with cognitive diversity, including dyslexia, by making tasks more challenging and less accessible. This study introduces an AI-driven smart manufacturing interface designed to address these challenges through an integrated approach combining computer vision techniques and natural language processing. The system provides real-time, multimodal guidance through voice, visual, and interactive instructions tailored to individual needs, effectively reducing cognitive load and enhancing task performance. Experimental results show a 22.1% reduction in assembly time and a 57.1% decrease in error rates, demonstrating the system's effectiveness in improving operational efficiency and accuracy. By leveraging innovative information technologies, the interface aligns with the human-centric principles of Industry 5.0, supporting diverse and adaptable manufacturing environments. These findings highlight the potential of smart systems to drive inclusivity and sustainability in industrial ecosystems.","AI-driven interfaces, Industry 5.0, cognitive diversity, human-machine interaction, inclusive manufacturing",,"New York, NY, USA",ACM,"AI-Driven Inclusive Manufacturing Interfaces: Leveraging Information Technology for Cognitive Diversity in Industry 5.0 The transition to Industry 5.0 emphasizes the need for inclusive and intelligent systems in manufacturing. Traditional text-based assembly instructions can create barriers for workers with cognitive diversity, including dyslexia, by making tasks more challenging and less accessible. This study introduces an AI-driven smart manufacturing interface designed to address these challenges through an integrated approach combining computer vision techniques and natural language processing. The system provides real-time, multimodal guidance through voice, visual, and interactive instructions tailored to individual needs, effectively reducing cognitive load and enhancing task performance. Experimental results show a 22.1% reduction in assembly time and a 57.1% decrease in error rates, demonstrating the system's effectiveness in improving operational efficiency and accuracy. By leveraging innovative information technologies, the interface aligns with the human-centric principles of Industry 5.0, supporting diverse and adaptable manufacturing environments. These findings highlight the potential of smart systems to drive inclusivity and sustainability in industrial ecosystems.",1,0.8049347400665283
10.1145/3656650.3656717,A Segmentation Framework based on Cognitive Sciences for Empowering Hybrid Co-Working in Industry 5.0,"Varni, Giovanna and Volpe, Gualtiero",2024,Proceedings of the 2024 International Conference on Advanced Visual Interfaces,10.1145/3656650.3656717,"Industry 5.0 rethinks the role of human operators in production processes with the final goal to promote societal well-being. To achieve such a goal, novel computational approaches reshaping human-machine collaboration are needed. This paper presents a computational framework, stemmed from Cognitive Sciences, to enable human operators and machines to share a cognitive common ground in co-working hybrid processes.","Cognitive Sciences, Human-Centricity, Industry 5.0",,"New York, NY, USA",ACM,"A Segmentation Framework based on Cognitive Sciences for Empowering Hybrid Co-Working in Industry 5.0 Industry 5.0 rethinks the role of human operators in production processes with the final goal to promote societal well-being. To achieve such a goal, novel computational approaches reshaping human-machine collaboration are needed. This paper presents a computational framework, stemmed from Cognitive Sciences, to enable human operators and machines to share a cognitive common ground in co-working hybrid processes.",1,0.9189181327819824
10.1145/3590837.3590903,Industry 5.0: Sustainability Challenges in Fusion of Human and AI,"Patnaik, Amitabh and Dawar, Sunny and Kudal, Pallavi",2023,Proceedings of the 4th International Conference on Information Management &amp; Machine Intelligence,10.1145/3590837.3590903,"Most industrial revolutions aim to separate human labor from that of machines. These machines are referred as ""machines"" or ""robots,"" will eventually take over the majority of the labor-intensive, monotonous, or hazardous tasks currently performed by people. Cleaning robots, for instance, can efficiently clean a room or an office. Future cleaning chores will eventually all be carried out by robots; it is only a question of time. Although currently both humans and robots can perform cleaning tasks, prior data on the rate of mechanization suggests that in the future humans will perform fewer cleaning than robots. The degree of technology and public acceptance of robots determine how quickly automation permeates human lives. Studying how people and robots interact and how it affects society is crucial because robots may have a big impact on civilization. Industry 4.0 has attracted a lot of interest since its debut in 2011. Additionally, the conversation around Industry 5.0 has already begun among some academics and futurists. They present various visions of Industry 5.0. Collaboration between robots and humans is one evolving topic for Industry 5.0. People are unsure of what Industry 5.0's theme will be after some time. However, people can be certain that the coworking of humans and robots will be a significant advancement for society and have a big impact on how people conduct business. Researchers aim at contrasting Industry 4.0 with Industry 5.0 perspectives. Further researchers concentrate on the challenges which people would face when co-working between humans and robots start. Researchers finish the study by briefly discussing potential areas for future investigation.","Artificial intelligence, Cobot, Fusion, Human Robot Interaction (HRI), Sustainability",,"New York, NY, USA",ACM,"Industry 5.0: Sustainability Challenges in Fusion of Human and AI Most industrial revolutions aim to separate human labor from that of machines. These machines are referred as ""machines"" or ""robots,"" will eventually take over the majority of the labor-intensive, monotonous, or hazardous tasks currently performed by people. Cleaning robots, for instance, can efficiently clean a room or an office. Future cleaning chores will eventually all be carried out by robots; it is only a question of time. Although currently both humans and robots can perform cleaning tasks, prior data on the rate of mechanization suggests that in the future humans will perform fewer cleaning than robots. The degree of technology and public acceptance of robots determine how quickly automation permeates human lives. Studying how people and robots interact and how it affects society is crucial because robots may have a big impact on civilization. Industry 4.0 has attracted a lot of interest since its debut in 2011. Additionally, the conversation around Industry 5.0 has already begun among some academics and futurists. They present various visions of Industry 5.0. Collaboration between robots and humans is one evolving topic for Industry 5.0. People are unsure of what Industry 5.0's theme will be after some time. However, people can be certain that the coworking of humans and robots will be a significant advancement for society and have a big impact on how people conduct business. Researchers aim at contrasting Industry 4.0 with Industry 5.0 perspectives. Further researchers concentrate on the challenges which people would face when co-working between humans and robots start. Researchers finish the study by briefly discussing potential areas for future investigation.",1,0.7864671349525452
10.1145/3592538.3607806,Digital twins: Double Insecurity for Industrial Scenarios,"Alcaraz, Cristina",2023,Proceedings of the 9th ACM Cyber-Physical System Security Workshop,10.1145/3592538.3607806,"Industry 5.0 is increasingly having a greater influence on the modernization of industrial processes in order to improve not only its own value chain but also the supply chain within a context. In this case, Digital twins (DTs) is a leading technology, providing simulation capabilities to analyze, predict and optimize possible scenarios and situations, which is encouraging different industrial actors to invest in the technology, and especially to intensify the three Industry 5.0 objectives: centrality in the human being, sustainability, and resilience. But this fact, in turn, forces the scientific community to pay attention to the risks that may be involved in adapting the technology itself in its operational domains. The deployment of a DT involves a set of risks and threats that are a consequence of its own criticality, what affects seriously Industry 5.0 resilience. In this talk, therefore, we will talk about that particular context of a DT, where we will explore potential threats that can corrupt the objectives of Industry 5.0, adding some security recommendations that can benefit, at least, the expected Industry 5.0 resilience.","Digital Twins, Industrial Systems, Security and Privacy in Industry 5.0",,"New York, NY, USA",ACM,"Digital twins: Double Insecurity for Industrial Scenarios Industry 5.0 is increasingly having a greater influence on the modernization of industrial processes in order to improve not only its own value chain but also the supply chain within a context. In this case, Digital twins (DTs) is a leading technology, providing simulation capabilities to analyze, predict and optimize possible scenarios and situations, which is encouraging different industrial actors to invest in the technology, and especially to intensify the three Industry 5.0 objectives: centrality in the human being, sustainability, and resilience. But this fact, in turn, forces the scientific community to pay attention to the risks that may be involved in adapting the technology itself in its operational domains. The deployment of a DT involves a set of risks and threats that are a consequence of its own criticality, what affects seriously Industry 5.0 resilience. In this talk, therefore, we will talk about that particular context of a DT, where we will explore potential threats that can corrupt the objectives of Industry 5.0, adding some security recommendations that can benefit, at least, the expected Industry 5.0 resilience.",1,0.8106338381767273
10.1145/3652037.3663946,Enhancing Human-Machine Interactions: A Novel Framework for AR-Based Digital Twin Systems in Industrial Environments,"Grego, Giovanni and Nenna, Federica and Gamberini, Luciano",2024,Proceedings of the 17th International Conference on PErvasive Technologies Related to Assistive Environments,10.1145/3652037.3663946,"Industry 5.0 represents a paradigm shift initiated by the European Commission, which emphasizes human-centricity, sustainability, and resilience in industrial settings. This novel paradigm underscores the importance of giving a central role to humans in every process entailed in the implementation of advanced technologies into work and industrial scenarios. By following this view, in this work, we present a novel human-centric framework integrating Digital Twins (DTs) and Augmented Reality (AR) within a manufacturing setting, focusing on a design and evaluation process that facilitates seamless interaction between humans and machines. This work contributes to the ongoing discourse on Industry 5.0 by offering a twofold yet integrated perspective on humans and novel industrial technologies, providing insights into the transformative potential of integrating AR and DT technologies within industrial settings. From a technical perspective, the framework’s hardware and software specifications, design principles, and technical implementation are elucidated, followed by an evaluation of its responsiveness and spatial accuracy. Results demonstrate the framework’s efficacy in providing real-time monitoring and control of robotic systems. Parallely, the potential impacts of our AR-based digital twin systems on human labor and work routines are discussed, providing a more human-based perspective to complement the technical one.","Digital Twin, Extended Reality, Human-Computer Interaction, Manufacturing, Pervasive Devices, Robotics",,"New York, NY, USA",ACM,"Enhancing Human-Machine Interactions: A Novel Framework for AR-Based Digital Twin Systems in Industrial Environments Industry 5.0 represents a paradigm shift initiated by the European Commission, which emphasizes human-centricity, sustainability, and resilience in industrial settings. This novel paradigm underscores the importance of giving a central role to humans in every process entailed in the implementation of advanced technologies into work and industrial scenarios. By following this view, in this work, we present a novel human-centric framework integrating Digital Twins (DTs) and Augmented Reality (AR) within a manufacturing setting, focusing on a design and evaluation process that facilitates seamless interaction between humans and machines. This work contributes to the ongoing discourse on Industry 5.0 by offering a twofold yet integrated perspective on humans and novel industrial technologies, providing insights into the transformative potential of integrating AR and DT technologies within industrial settings. From a technical perspective, the framework’s hardware and software specifications, design principles, and technical implementation are elucidated, followed by an evaluation of its responsiveness and spatial accuracy. Results demonstrate the framework’s efficacy in providing real-time monitoring and control of robotic systems. Parallely, the potential impacts of our AR-based digital twin systems on human labor and work routines are discussed, providing a more human-based perspective to complement the technical one.",1,0.9465384483337402
10.5555/3643142.3643336,Modeling Multivariate Relations in Multiblock Semiconductor Manufacturing Data Using Process Pls to Enhance Process Understanding,"van Kollenburg, Geert and Verhoeven, Richard and Holenderski, Mike and Meratnia, Nirvana and Pagano, Daniele",2024,Proceedings of the Winter Simulation Conference,,"The complexity of manufacturing process data has made it more challenging to extract useful insights. Data-analytic solutions have therefore become essential for analyzing and optimizing manufacturing processes. Path modeling, also known as structural equation modeling, is a statistical approach that can provide new insights into complex multivariate relationships between process variables from different stages of the manufacturing process. The incorporation of expert process knowledge and subsequent interpretation of model results can facilitate communication between stakeholders, promoting lean manufacturing and achieving the sustainability goals of Industry 5.0. This paper describes the use of a path modeling algorithm called Process Partial Least Squares (Process PLS) to gain new insights into the relationships between equipment data from several machines within the semiconductor manufacturing process. The methods used in this study can assist manufacturers in understanding the relations between different machines and identify the most influential variables that may be used to develop soft-sensors.",,,,ACM,"Modeling Multivariate Relations in Multiblock Semiconductor Manufacturing Data Using Process Pls to Enhance Process Understanding The complexity of manufacturing process data has made it more challenging to extract useful insights. Data-analytic solutions have therefore become essential for analyzing and optimizing manufacturing processes. Path modeling, also known as structural equation modeling, is a statistical approach that can provide new insights into complex multivariate relationships between process variables from different stages of the manufacturing process. The incorporation of expert process knowledge and subsequent interpretation of model results can facilitate communication between stakeholders, promoting lean manufacturing and achieving the sustainability goals of Industry 5.0. This paper describes the use of a path modeling algorithm called Process Partial Least Squares (Process PLS) to gain new insights into the relationships between equipment data from several machines within the semiconductor manufacturing process. The methods used in this study can assist manufacturers in understanding the relations between different machines and identify the most influential variables that may be used to develop soft-sensors.",1,0.8035076260566711
10.1145/3660043.3660115,A Scientometric Analysis of Education 4.0 and Education Sustainable Development,"Chen, Jiyun",2024,Proceedings of the 2023 International Conference on Information Education and Artificial Intelligence,10.1145/3660043.3660115,"In the era of industrialization and digitalization, an educational revolution has been taking place with mass education, knowledge society, and IT. Education 4.0, evolving with the development of Industry 1.0 to 4.0, is introduced and applied to promote sustainable and open-access education that produces innovation for achieving the Sustainable Development Goals of the United Nations. Utilizing CiteSpace, this research investigated the intellectual base and milestone publications, focusing on 3135 documents retrieved from the Web of Science between 2004 and 2023. Utilizing CiteSpace, this research investigated the intellectual base and milestone publications, focusing on 3135 documents retrieved from the Web of Science between 2004 and 2023. The findings indicated that the sustainability industry, literature review, fifth industrial revolution, circular economy, and digital twin are high-profile research topics or domains. Education 4.0 and Industry 4.0 are closely related in both academic and industrial areas. The main progress has been made by elucidating the field's intellectual structure through recently explored and broadened datasets.",,,"New York, NY, USA",ACM,"A Scientometric Analysis of Education 4.0 and Education Sustainable Development In the era of industrialization and digitalization, an educational revolution has been taking place with mass education, knowledge society, and IT. Education 4.0, evolving with the development of Industry 1.0 to 4.0, is introduced and applied to promote sustainable and open-access education that produces innovation for achieving the Sustainable Development Goals of the United Nations. Utilizing CiteSpace, this research investigated the intellectual base and milestone publications, focusing on 3135 documents retrieved from the Web of Science between 2004 and 2023. Utilizing CiteSpace, this research investigated the intellectual base and milestone publications, focusing on 3135 documents retrieved from the Web of Science between 2004 and 2023. The findings indicated that the sustainability industry, literature review, fifth industrial revolution, circular economy, and digital twin are high-profile research topics or domains. Education 4.0 and Industry 4.0 are closely related in both academic and industrial areas. The main progress has been made by elucidating the field's intellectual structure through recently explored and broadened datasets.",1,0.945625364780426
10.1145/3543712.3543729,Gaining Impact with Mixed Reality in Industry – A Sustainable Approach,"Holly, Fabian and Zigart, Tanja and Maurer, Martina and Wolfartsberger, Josef and Brunnhofer, Magdalena and Sorko, Sabrina Romina and Moser, Thomas and Schlager, Alexander",2022,Proceedings of the 2022 8th International Conference on Computer Technology Applications,10.1145/3543712.3543729,"Mixed reality (augmented and virtual reality) technology continues to find its way into the industry. Nevertheless, prototypes and island solutions are developed in companies, which are not embedded in the corporate strategy. This paper presents a systematic approach for finding and developing use cases accompanied by a strategic implementation and evaluation process to integrate mixed reality in the industry. Sustainability aspects like energy and resource efficiency, possible reduction of the ecological footprint, and sustainable solutions for lasting and vision-based use in companies are considered. Within several use cases with 20 industry partners in the following areas are developed: 1) novel forms of space-independent collaboration (e.g., collaborative work by integrating real-time 3D depth information of the real environment and visualization of and interaction with real-time production data) and 2) XR-supported training and learning methods (e.g., parameterizable and adaptive training scenarios, roll-out of training content for several participants and integration of gamification mechanisms). Additionally, the methodology for a sustainability assessment, technology acceptance, and a multi-criteria evaluation are shown, and first results are discussed.","Industry Use Cases, Mixed Reality, Sustainability",,"New York, NY, USA",ACM,"Gaining Impact with Mixed Reality in Industry – A Sustainable Approach Mixed reality (augmented and virtual reality) technology continues to find its way into the industry. Nevertheless, prototypes and island solutions are developed in companies, which are not embedded in the corporate strategy. This paper presents a systematic approach for finding and developing use cases accompanied by a strategic implementation and evaluation process to integrate mixed reality in the industry. Sustainability aspects like energy and resource efficiency, possible reduction of the ecological footprint, and sustainable solutions for lasting and vision-based use in companies are considered. Within several use cases with 20 industry partners in the following areas are developed: 1) novel forms of space-independent collaboration (e.g., collaborative work by integrating real-time 3D depth information of the real environment and visualization of and interaction with real-time production data) and 2) XR-supported training and learning methods (e.g., parameterizable and adaptive training scenarios, roll-out of training content for several participants and integration of gamification mechanisms). Additionally, the methodology for a sustainability assessment, technology acceptance, and a multi-criteria evaluation are shown, and first results are discussed.",1,0.769568681716919
10.1145/3677892.3677951,Analyzing the Impact of Various Factors and Policies on China's New Energy Electric Vehicles,"Chen, Yixuan",2024,Proceedings of the 2024 International Conference on Digital Society and Artificial Intelligence,10.1145/3677892.3677951,"This paper provides an in-depth analysis of the factors and policies impacting China's New Energy Electric Vehicle (NEEV) industry, focusing on technological, legal, market, and environmental aspects. Employing mathematical modeling and data analysis, it forecasts significant growth in NEEV ownership and sales over the next decade, driven by government initiatives, innovations, and market trends. The study highlights the environmental benefits of NEEVs, particularly in reducing urban carbon emissions and improving air quality. Additionally, it examines the role of environmental laws in shaping the industry, concluding that integrated policy support, technological advances, and robust legal frameworks are crucial for the industry's development and achieving sustainability goals.",,,"New York, NY, USA",ACM,"Analyzing the Impact of Various Factors and Policies on China's New Energy Electric Vehicles This paper provides an in-depth analysis of the factors and policies impacting China's New Energy Electric Vehicle (NEEV) industry, focusing on technological, legal, market, and environmental aspects. Employing mathematical modeling and data analysis, it forecasts significant growth in NEEV ownership and sales over the next decade, driven by government initiatives, innovations, and market trends. The study highlights the environmental benefits of NEEVs, particularly in reducing urban carbon emissions and improving air quality. Additionally, it examines the role of environmental laws in shaping the industry, concluding that integrated policy support, technological advances, and robust legal frameworks are crucial for the industry's development and achieving sustainability goals.",1,0.8020778894424438
