Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type,Abstract
Modelling risks in transition from Industry 4.0 to Industry 5.0,Annals of Operations Research,,,,10.1007/s10479-024-06055-9,Ravi ShankarLaxmi Gupta,2024,https://link.springer.com/article/10.1007/s10479-024-06055-9,Article,"Industry 5.0 builds upon the advancements of Industry 4.0 by shifting its focus from pure automation to a more human-centric approach. This research aims to identify and model the key enablers contributing to the transitional shift from Industry 4.0 to Industry 5.0. The paper introduces a novel theory-driven framework, utilizing diverse methodologies such as Exploratory Factor Analysis (EFA), Fuzzy Set Theory (FST), Evidential Reasoning Algorithm (ERA), Expected Utility Theory (EUT), and Risk Profiling. The framework concentrates on evaluating the significance of these enablers during the transition and prioritizing them from multiple perspectives. The proposed model generates a continuum of scenarios illustrating the relative importance of resilience, sustainability, and the human-centric dimensions of Industry 5.0. The research identifies several risks associated with these enablers. A comprehensive risk profiling analysis is conducted to classify the risks according to predefined parameters. It is observed that, as the importance perspective changes, some risks exhibit robustness in their severity, while others are sensitive to slight variations in parameters. This study utilizes risk profiling based on dynamic changes in the perception of risk assessment. The risk profiling approach aids decision-makers in effectively planning actions to address the various risks associated with the transition from Industry 4.0 to Industry 5.0."
The rise of human-centric manufacturing in the industry 5.0 era,The International Journal of Advanced Manufacturing Technology,,,,10.1007/s00170-025-16192-5,Lesia Yanytska,2025,https://link.springer.com/article/10.1007/s00170-025-16192-5,Article,"Industry 5.0 represents a paradigm shift from automation-dominated production models toward a human-centric approach that emphasizes collaboration, resilience, and sustainability. Unlike Industry 4.0, which prioritized efficiency through digital transformation, Industry 5.0 seeks to augment human intelligence and well-being by integrating emerging technologies with cognitive and ergonomic design principles. This transformation responds to global challenges such as workforce shortages, pandemic-induced disruptions, and the urgency of climate action. This study adopts a qualitative methodology, combining a systematic literature review of 25 peer-reviewed sources with an embedded case study of a global manufacturing facility. Data were collected from open-access scientific databases and verified industry reports. The study focuses on identifying technological enablers and organizational strategies that exemplify Industry 5.0 principles in practice. A thematic analysis approach was applied to extract dominant patterns related to human–machine interaction and innovation outcomes. Key findings demonstrate that AI-powered MES dashboards, human digital twins with cognitive data streams, immersive XR training platforms, and collaborative robotics shape adaptive manufacturing ecosystems. These systems enable real-time anomaly detection, operator-specific decision support, and neuroergonomic scheduling. At the case site, this led to a 22% reduction in downtime, a 14% improvement in scheduling accuracy, and a doubling of employee-driven innovations. The application of neuroergonomic design, Kaizen-based improvement, and predictive AI systems enhanced engagement, productivity, and adaptability. The study confirms that Industry 5.0 provides a viable framework for building inclusive and sustainable manufacturing environments. These insights offer both a theoretical foundation for human-centric production and a strategic roadmap for industries aiming to operationalize Industry 5.0 principles at scale."
Navigating the Frontiers of Industry 5.0: Predictive Analysis Using Natural Language Processing,Operations Research Forum,,,,10.1007/s43069-025-00501-5,Shamneesh SharmaChetan SharmaIsha BatraArun MalikMahender Singh KaswanDongping DuVimal Kumar,2025,https://link.springer.com/article/10.1007/s43069-025-00501-5,Article,"Industry 5.0 is a manufacturing transformation that prioritises the collaboration between humans and machines to enhance efficiency, customisation, and sustainability. The main aim of this work is to comprehend the different frontiers of Industry 5.0 and propose different avenues for future research. This research paper examines the literature on Industry 5.0 by utilising the Scopus database and the topic modelling technique of Natural Language Processing to find emerging patterns and potential areas for future research. The study demonstrates a notable rise in research endeavours about human-centric manufacturing, sustainable methodologies, and integrating sophisticated technologies. Areas of focus encompass the interplay between human ingenuity and machine accuracy, the impact of artificial intelligence on improving manufacturing procedures, and the creation of robust production systems. The report highlights the crucial significance of Industry 5.0 in tackling current industrial difficulties and promoting innovation."
Fuzzy-based hybrid decision-making approach for security risk assessment in healthcare industry 5.0,International Journal of Information Technology,,,,10.1007/s41870-025-02979-y,Riaz AhmedSuhel Ahmad KhanSudesh Kumar,2025,https://link.springer.com/article/10.1007/s41870-025-02979-y,Article,"Security is undoubtedly a critical component of a high-quality healthcare system. Moreover, usability, sustainability, availability, integrity, and confidentiality are essential for developing robust healthcare security systems in the context of Industry 5.0. Despite extensive safeguards, the healthcare system often suffers from inadequate effectiveness with increases the attack surface area for potential vulnerabilities. This study conducts a comprehensive review of articles published in healthcare and Industry 5.0, identifying security factors and their interrelationships. It also investigates these necessities to determine critical factors of security developed in the form of weighting relationships among them. A fuzzy-based hybrid model is proposed to assess the risks in realistic conditions. A viable security risk assessment mechanism is developed by establishing a strong correlation among the identified factors of Healthcare Industry 5.0. The Fuzzy-Analytic Hierarchy Process (AHP) technique is employed to evaluate the priorities of security risk factors in Healthcare Industry 5.0. Furthermore, this research involves a quantitative and qualitative evaluation of the impact of the security on Healthcare Industry 5.0. The findings and recommendations of this study can help practitioners enhance the security capabilities of the healthcare industry within the context of Industry 5.0."
Industry 5.0: A Review of Trends Compared to Industry 4.0 and Society 5.0,"Organizational Engineering, Coping with Complexity",,,,10.1007/978-3-031-82334-3_68,Sandra Ramos GutiérrezIsabel García-Gutiérrez,2025,https://link.springer.com/chapter/10.1007/978-3-031-82334-3_68,Conference paper,"This paper aims to review the concepts of Industry 4.0, Industry 5.0 and Society 5.0. Applying systematic review techniques, the trends and main topics associated to these concepts are analysed. The study provides arguments that illuminate the discussion on the real differences or similarities between these three concepts and on the dilemma of whether the Industry 5.0 concept replaces or complements Industry 4.0."
Neuroleadership Skills in Industry 5.0,Information Technology and Systems,,,,10.1007/978-3-031-93106-2_26,Nicolle Avendaño VillegasLiz Villanueva PatiñoEduardo Salazar Araujo,2025,https://link.springer.com/chapter/10.1007/978-3-031-93106-2_26,Conference paper,"The objective of the study was to measure to what extent professionals leading in Industry 5.0 consider themselves competent in transformational leadership skills, that been related to neuroleadership. These skills are breakthrough, agility, emotional intelligence, influence, communication, visionary, problem-solving, and decision-making. The participants were 30 engineers from the Simón Bolívar University, in Barranquilla, who work in positions related to the new conditions resulting from the rise of Industry 5.0. The researchers created the instrument “Questionnaire of neuroleadership skills in industry 5.0”, to show the degree of presence of these skills. The results suggest, through a descriptive analysis, that these professionals, who work in Industry 5.0 places, acknowledge having a level, higher than 90%, of the neuroleadership skills, which are expected by organizations exposed to environments that integrate artificial intelligence with robotics and promote collaboration and creativity to achieve more sustainable solutions in the industry. In this order, the labor market new conditions, especially related to Industry 5.0, have led to leadership having new characteristics such as those related to neuroscience."
Industry 5.0 paradigm transformation adoption in developing countries: an analytical game theoretic model,Scientific Reports,,,,10.1038/s41598-025-16089-z,Hamed Fazlollahtabar,2025,https://link.springer.com/article/10.1038/s41598-025-16089-z,Article,"This study presents a novel tripartite game model to investigate the adoption of Industry 5.0 in developing countries. The model incorporates three key stakeholders: Industry, Government, and workforce, each with distinct objectives and strategic decisions. The Industry aim to optimize production efficiency and workforce integration through advanced automation and human-machine collaboration, while Government focus on regulatory frameworks and incentives to foster technological adoption. Workforce aim to enhance the deployment of AI, robotics, and other Industry 5.0 technologies for skill adaptation and job security. By utilizing game theory, this research analyzes the interactions, competition, and cooperation among these stakeholders, exploring the dynamic incentives and trade-offs that influence adoption decisions. The model also considers the socio-economic challenges faced by developing countries, such as limited infrastructure, workforce skills, and financial constraints. Through equilibrium analysis, the study provides insights into the optimal strategies for each stakeholder and highlights the critical factors that drive or hinder the successful implementation of Industry 5.0 in these contexts. The findings offer valuable policy implications for governments and actionable strategies for industries in developing countries seeking to leverage Industry 5.0 technologies for sustainable growth and competitive advantage."
Fostering lithium-ion battery remanufacturing through Industry 5.0,International Journal on Interactive Design and Manufacturing (IJIDeM),,,,10.1007/s12008-025-02229-2,Alessandro NeriMaria Angela ButturiLeandro Tomasin da SilvaFrancesco LolliRita GamberiniMiguel Afonso Sellitto,2025,https://link.springer.com/article/10.1007/s12008-025-02229-2,Article,"The rise of electric vehicles (EVs) has resulted in notable environmental benefits, yet challenges persist regarding battery disposal and recovery. The increasing demand for EVs heightens concerns about the environmental impact of lithium-ion battery (LIB) waste, which threatens both ecosystems and public health. Although remanufacturing is seen as a sustainable solution to these issues, current research does not thoroughly examine the role of Industry 5.0 technologies in optimising this process. This study aims to compare and assess the potential of various Industry 5.0 technologies and approaches to enhance the remanufacturing of lithium-ion batteries. Using the AHP-PROMETHEE method, we identify the most critical and influential Industry 5.0 prospects that should be prioritised for addressing key challenges such as diagnostic accuracy, safe disassembly, and high-quality reassembly. The multi-criteria analysis highlights key Industry 5.0 imperatives that can facilitate efficient and effective remanufacturing processes. The study identifies Digital Product Passport (DPP), Digital Twin (DT), and the Internet of Everything (IoE) as critical enablers in optimizing the LIB remanufacturing process. The analysis reveals that DPP stands out as the top enabler, significantly enhancing transparency, traceability, and lifecycle management for LIBs. DT and IoE follow closely, contributing to real-time monitoring, predictive maintenance, and seamless data integration across the supply chain. This paper delves in the emerging concept of the Digital Battery Passport (DBP), a DPP mandated by recent European regulations aimed at improving battery management and circularity. The DBP facilitates access to critical data throughout the battery’s lifecycle, including its origin, composition, and state of health. This information is crucial for optimising remanufacturing processes, ensuring compliance with sustainability standards, and extending battery life. The paper highlights the potential of DBP to transform the EV battery value chain by enhancing transparency and enabling more informed decision-making across stakeholders. Our findings offer significant insights for policymakers, battery manufacturers, and remanufacturing firms."
TinyML with CTGAN based smart industry power load usage prediction with original and synthetic data visualization towards industry 5.0,Scientific Reports,,,,10.1038/s41598-025-25678-x,Maragatharajan MuthusamyAanjankumar SureshkumarPoonkuntran ShanmugamParag Ravikant KaveriMohamed Yasin Noor MohamedSunaina Sridhar,2025,https://link.springer.com/article/10.1038/s41598-025-25678-x,Article,"The integration of artificial intelligence (AI) into adaptive and autonomous systems announces a new era for Industry 5.0. The concept emphasizes human-centric, sustainable, and intelligent industrial processes. This study presents a comprehensive framework that combines supervised machine learning and generative modelling to predict and synthesize load types in industrial energy consumption data. A TinyML achieved a prediction accuracy of 95% in categorizing load types, such as light load, medium load, and maximum load, when compared to another ensemble model that achieved 94%, a GRU model at 82.8%, an LSTM with attention at 90.3%, and a traditional LSTM at 85.6%. Furthermore, a CTGAN-based tabular data generator was integrated to simulate realistic energy consumption patterns and facilitate advanced ‘what if’ analysis without the constraints of original data availability. The key features influencing load prediction included NSM, usage hours, and energy consumption. In comparison to the traditional deep learning model, the proposed work is lightweight because it utilizes a tiny machine learning model for load classification and employs a generative adversarial network to effectively define the CO2 emission rate and power consumption process within the industry, all while operating in a resource-constrained environment without requiring additional resources. This work highlights the crucial role of AI-driven autonomous systems in enhancing operational flexibility, promoting sustainability, and facilitating real-time human-AI collaboration in Industry 5.0 environments."
Optimising apparel production in Industry 5.0 using a human-centric flexible manufacturing approach,The International Journal of Advanced Manufacturing Technology,,,,10.1007/s00170-025-15987-w,Nengsheng BaoYuping YangYuchen FanAlessandro Simeone,2025,https://link.springer.com/article/10.1007/s00170-025-15987-w,Article,"The evolution towards Industry 5.0 highlights synergistic human–machine collaboration aimed at enhancing manufacturing efficiency, adaptability, and worker well-being. In contrast to Industry 4.0 automation-centric approach, Industry 5.0 emphasises the strategic integration of human expertise with targeted automation, optimising worker-task alignment while automating repetitive processes. In such context, this study introduces a Garment Flexible Manufacturing System (GFMS) designed to optimise production scheduling, material handling, and workflow coordination through intelligent scheduling, multi-channel processing, and automated warehousing. Implemented at LAFEIYI Clothing Manufacturing Co., Ltd. in Shantou, China, the GFMS was evaluated using real-world production data and workforce adaptation metrics. Experimental results indicate a 28% increase in daily output per worker, improved order fulfilment rates, and enhanced operational stability. These findings provide empirical evidence supporting the effectiveness of human-centric automation in apparel manufacturing, demonstrating the transformative potential of Industry 5.0 in improving production efficiency and worker conditions."
